,Category,Frequency,Examples
0,Error Handling,13,"['The program checks for invalid input types (like floats or negative numbers) and prints an error message accordingly.', 'Error handling for input types is not enforced but assumed to be handled externally or via responsible use of setters.', 'Raises ValueError or TypeError when statistical assumptions are not met.']"
1,Library Usage,7,"['Uses math.acos and math.sqrt from Python’s standard math library.', 'The implementation avoids external libraries and uses pure object-oriented features of Python.', 'Uses matplotlib.pyplot for plotting.']"
2,Code Structure,6,"['Uses any() and comprehensions to check password properties.', 'The function does not mutate global state or rely on external files.', 'Fully self-contained with necessary import os and import shutil.']"
3,Input Handling,5,"['Accepts two input lists as arguments.', ""Inputs a list of strings (data_list) and builds a pandas DataFrame with an 'Original String' column."", 'For each string in the list:']"
4,Data Structure,5,"['Defines a 2D NumPy array data with shape (2, 5), representing time series data.', ""Constructs a Pandas DataFrame using specified COLUMNS = ['email', 'list']."", ""An empty DataFrame with required columns: ['email', 'list', 'sum', 'mean'].""]"
5,Documentation,5,"['Readable and maintainable docstrings for each function.', 'Do not include detailed explanations of mathematical concepts and formulas in the code.', ""Include a detailed docstring explaining the function's purpose, parameters, and return value.""]"
6,Testing,5,"['The program includes test cases that demonstrate both valid and invalid input handling.', 'Output values and error messages are displayed using standard print() statements in a clear, readable format.', 'Covers edge cases in its test suite.']"
7,Function Definition,5,"['The function is named decryptJokes and accepts a list of encrypted jokes as input.', 'The function supports an additional argument (numJokes) to control how many jokes to decrypt.', 'Defines a function named combine_lists.']"
8,Data Generation,4,"['Generates a 10×10 matrix of random values between 0 and 1 using np.random.random((10, 10)).', 'Generates a NumPy array of shape (length, 5) using np.random.randint() within the specified min_value and max_value range.', ""Initializes a pandas.DataFrame with columns named using the predefined constant COLUMNS = ['Column1', 'Column2', 'Column3', 'Column4', 'Column5'].""]"
9,Code Quality,4,"['The code uses clear variable naming and inline comments to describe the logic, aiding readability and maintainability.', 'Follows PEP8 formatting and naming conventions.', 'Ensure the code remains readable and maintainable despite optimizations.']"
10,Return Values,4,"['Returns a tuple consisting of:', 'The updated DataFrame with all four columns.', 'None for the plot axis if no data exists.']"
11,Input Validation,4,"['Input validation is performed to ensure the argument is a non-negative integer.', 'The program checks for invalid input types (like floats or negative numbers) and prints an error message accordingly.', 'The function returns None for invalid input, avoiding further recursion.']"
12,Efficiency,4,"['Efficiently handles batch predictions by applying the operation on the whole tensor at once.', 'Leverages NumPy functions (np.sum, np.mean) for efficient numerical operations.', 'Uses built-in set, sum, and len for efficiency.']"
13,Performance Optimization,3,"['Efficiently performs binning and averaging without explicit loops.', 'Fully vectorized solution using broadcasting and axis manipulation.', 'Precomputes document frequencies and term frequencies during class initialization to avoid repeated calculations.']"
14,Function Output,3,"['Returns either the restored directory path (on success) or a descriptive error message (on failure).', 'Provides a deterministic rollback path based on the latest available backup.', 'Returns the list of extracted names.']"
15,Data Processing,3,"['Strips trailing spaces and filters out empty matches using list comprehension.', 'Sorts the list of random numbers before plotting.', 'Keeps the core functionality unchanged: reads a CSV, normalizes column names to lowercase, and loads the data into the pcawg_samples table.']"
16,Error Explanation,3,"['The error is explained: enumerate(numbers) returns pairs, so the loop must unpack both elements, not just one.', 'Explain the error in the erroneous code in detail.', 'Provide a clear explanation of why the `erroneous_combine_lists` function fails to produce a sorted list, highlighting the importance of the sorting step.']"
17,Plotting,3,"['Calls plt.plot(x, y) to create a line plot from the unzipped coordinates.', ""Adds marker='o' to plt.plot() for visual emphasis on each data point."", ""Plot the sum and mean values using pandas' built-in plot function.""]"
18,Email Sending,3,"['Sends the email via SMTP:', 'Uses smtplib.SMTP() if no custom SMTP function is provided.', 'Initiates TLS using starttls().']"
19,Reproducibility,3,"['Uses random.seed(seed) to ensure reproducibility of random choices across runs.', 'Set the random seed at the beginning of the function to ensure reproducibility.', 'Use random.seed and np.random.seed for reproducibility.']"
20,Output Format,3,"['Returns output in LaTeX table format.', ""Labels password strength as 'Weak', 'Medium', or 'Strong' based on input."", 'Output tensor format matches required shape for classification predictions: one label per input instance.']"
21,Directory Management,3,"['Removes the target directory using shutil.rmtree if it already exists.', 'Restores the backup using shutil.copytree to copy the latest backup to the original directory path.', 'Ensures full rollback behavior by cleaning existing contents before restoring.']"
